iter	Passed	Remaining
680	5140	2407
681	5146	2399
682	5154	2392
683	5161	2384
684	5168	2376
685	5175	2368
686	5182	2361
687	5189	2353
688	5196	2345
689	5203	2337
690	5210	2330
691	5218	2322
692	5225	2315
693	5232	2307
694	5240	2299
695	5247	2292
696	5255	2284
697	5262	2276
698	5269	2269
699	5276	2261
700	5283	2253
701	5290	2245
702	5297	2238
703	5304	2230
704	5312	2222
705	5318	2214
706	5326	2207
707	5333	2199
708	5341	2192
709	5349	2184
710	5358	2177
711	5365	2170
712	5372	2162
713	5379	2154
714	5386	2146
715	5393	2139
716	5400	2131
717	5407	2123
718	5415	2116
719	5423	2109
720	5432	2102
721	5441	2095
722	5449	2087
723	5457	2080
724	5465	2073
725	5473	2065
726	5480	2057
727	5486	2050
728	5494	2042
729	5501	2034
730	5508	2027
731	5515	2019
732	5522	2011
733	5529	2004
734	5537	1996
735	5543	1988
736	5550	1980
737	5558	1973
738	5565	1965
739	5572	1958
740	5580	1950
741	5587	1942
742	5594	1935
743	5602	1927
744	5609	1920
745	5616	1912
746	5624	1904
747	5631	1897
748	5639	1889
749	5646	1882
750	5653	1874
751	5661	1866
752	5668	1859
753	5675	1851
754	5682	1844
755	5690	1836
756	5698	1829
757	5705	1821
758	5712	1813
759	5719	1806
760	5726	1798
761	5733	1790
762	5740	1783
763	5747	1775
764	5754	1767
765	5762	1760
766	5769	1752
767	5776	1744
768	5783	1737
769	5790	1729
770	5797	1721
771	5805	1714
772	5812	1706
773	5819	1699
774	5826	1691
775	5833	1683
776	5840	1676
777	5848	1668
778	5855	1661
779	5862	1653
780	5869	1645
781	5876	1638
782	5883	1630
783	5890	1622
784	5897	1615
785	5905	1607
786	5912	1600
787	5919	1592
788	5926	1584
789	5933	1577
790	5941	1569
791	5948	1562
792	5955	1554
793	5963	1547
794	5971	1539
795	5978	1532
796	5985	1524
797	5994	1517
798	6001	1509
799	6008	1502
800	6015	1494
801	6022	1486
802	6029	1479
803	6036	1471
804	6043	1463
805	6050	1456
806	6057	1448
807	6064	1441
808	6072	1433
809	6079	1426
810	6086	1418
811	6093	1410
812	6100	1403
813	6107	1395
814	6116	1388
815	6125	1381
816	6133	1373
817	6140	1366
818	6148	1358
819	6156	1351
820	6164	1344
821	6171	1336
822	6178	1328
823	6185	1321
824	6193	1313
825	6200	1306
826	6207	1298
827	6215	1291
828	6222	1283
829	6229	1275
830	6237	1268
831	6244	1260
832	6251	1253
833	6258	1245
834	6265	1238
835	6273	1230
836	6280	1223
837	6287	1215
838	6294	1207
839	6301	1200
840	6308	1192
841	6316	1185
842	6322	1177
843	6330	1170
844	6337	1162
845	6344	1154
846	6352	1147
847	6359	1139
848	6367	1132
849	6374	1124
850	6381	1117
851	6388	1109
852	6395	1102
853	6401	1094
854	6408	1086
855	6416	1079
856	6423	1071
857	6430	1064
858	6437	1056
859	6444	1049
860	6452	1041
861	6459	1034
862	6466	1026
863	6473	1018
864	6480	1011
865	6487	1003
866	6495	996
867	6502	988
868	6509	981
869	6516	973
870	6523	966
871	6531	958
872	6538	951
873	6545	943
874	6552	936
875	6559	928
876	6566	920
877	6573	913
878	6580	905
879	6587	898
880	6594	890
881	6602	883
882	6610	875
883	6616	868
884	6625	860
885	6633	853
886	6640	845
887	6647	838
888	6654	830
889	6661	823
890	6668	815
891	6675	808
892	6682	800
893	6690	793
894	6697	785
895	6704	778
896	6712	770
897	6718	763
898	6726	755
899	6733	748
900	6740	740
901	6747	733
902	6755	725
903	6762	718
904	6769	710
905	6777	703
906	6783	695
907	6791	688
908	6798	680
909	6806	673
910	6814	665
911	6821	658
912	6828	650
913	6835	643
914	6842	635
915	6850	628
916	6856	620
917	6864	613
918	6871	605
919	6878	598
920	6886	590
921	6893	583
922	6899	575
923	6906	568
924	6913	560
925	6920	553
926	6927	545
927	6935	538
928	6942	530
929	6949	523
930	6956	515
931	6964	508
932	6971	500
933	6978	493
934	6985	485
935	6992	478
936	6999	470
937	7006	463
938	7013	455
939	7020	448
940	7027	440
941	7034	433
942	7044	425
943	7051	418
944	7058	410
945	7065	403
946	7072	395
947	7079	388
948	7087	380
949	7094	373
950	7101	365
951	7109	358
952	7116	350
953	7123	343
954	7131	336
955	7138	328
956	7145	321
957	7152	313
958	7159	306
959	7166	298
960	7173	291
961	7180	283
962	7187	276
963	7194	268
964	7201	261
965	7209	253
966	7216	246
967	7223	238
968	7231	231
969	7238	223
970	7245	216
971	7252	208
972	7259	201
973	7266	193
974	7273	186
975	7280	179
976	7288	171
977	7295	164
978	7303	156
979	7310	149
980	7317	141
981	7324	134
982	7332	126
983	7340	119
984	7347	111
985	7354	104
986	7363	96
987	7370	89
988	7377	82
989	7384	74
990	7391	67
991	7399	59
992	7406	52
993	7414	44
994	7421	37
995	7428	29
996	7435	22
997	7442	14
998	7450	7
999	7457	0
